symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
AAPL R735QTJ8XC9X,2021-01-04 09:31:00,132.961311964,133.420625598,132.771595463,133.320774808,700.0,132.931356727,133.410640519,132.751625305,133.320774808,300.0,132.951326885,133.410640519,132.751625305,133.360715124,2476730.0
AAPL R735QTJ8XC9X,2021-01-04 09:32:00,133.161013544,133.250879255,132.891416411,132.961311964,100.0,133.121073228,133.240894176,132.861461174,132.931356727,100.0,133.1360508465,133.250879255,132.8764387925,132.931356727,534463.0
AAPL R735QTJ8XC9X,2021-01-04 09:33:00,132.921371648,133.161013544,132.811535779,133.161013544,100.0,132.90140149,133.131058307,132.781580542,133.121073228,300.0,132.911386569,133.161013544,132.781580542,133.151028465,526051.0
AAPL R735QTJ8XC9X,2021-01-04 09:34:00,132.561908804,132.951326885,132.511983409,132.921371648,200.0,132.531953567,132.921371648,132.50199833,132.90140149,200.0,132.551923725,132.951326885,132.511983409,132.921371648,555529.0
AAPL R735QTJ8XC9X,2021-01-04 09:35:00,132.621819278,132.641789436,132.192460881,132.561908804,100.0,132.60184912,132.611834199,132.182475802,132.531953567,500.0,132.621819278,132.631804357,132.192460881,132.551923725,744788.0
AAPL R735QTJ8XC9X,2021-01-04 09:36:00,132.442087856,132.70169991,132.412132619,132.621819278,300.0,132.412132619,132.691714831,132.40214754,132.60184912,600.0,132.442087856,132.691714831,132.412132619,132.621819278,440365.0
AAPL R735QTJ8XC9X,2021-01-04 09:37:00,132.122565328,132.442087856,132.082625012,132.442087856,1200.0,132.112580249,132.422117698,132.062654854,132.412132619,600.0,132.122565328,132.432102777,132.082625012,132.432102777,375356.0
AAPL R735QTJ8XC9X,2021-01-04 09:38:00,132.022714538,132.152520565,131.932848827,132.122565328,400.0,132.00274438,132.142535486,131.922863748,132.112580249,600.0,132.0037428879,132.152520565,131.922863748,132.112580249,462544.0
AAPL R735QTJ8XC9X,2021-01-04 09:39:00,131.733147247,132.022714538,131.613326299,132.022714538,300.0,131.713177089,132.012729459,131.60334122,132.00274438,100.0,131.733147247,132.022714538,131.60334122,132.022714538,728915.0
AAPL R735QTJ8XC9X,2021-01-04 09:40:00,131.70319201,131.942833906,131.70319201,131.733147247,400.0,131.683221852,131.922863748,131.683221852,131.713177089,200.0,131.683221852,131.932848827,131.683221852,131.733147247,534217.0
AAPL R735QTJ8XC9X,2021-01-04 09:41:00,131.543430746,131.783072642,131.273833613,131.70319201,400.0,131.523460588,131.773087563,131.253863455,131.683221852,100.0,131.533445667,131.773087563,131.263848534,131.70319201,675386.0
AAPL R735QTJ8XC9X,2021-01-04 09:42:00,131.942833906,131.952818985,131.373684403,131.543430746,100.0,131.932848827,131.942833906,131.363699324,131.523460588,300.0,131.942833906,131.952818985,131.363699324,131.533445667,568509.0
