symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
AMZN R735QTJ8XC9X,2021-01-04 09:31:00,3262.13,3272.4,3262.13,3270.01,800.0,3260.06,3270.35,3260.06,3268.88,100.0,3261.0,3272.18,3260.46,3270.0,78795.0
AMZN R735QTJ8XC9X,2021-01-04 09:32:00,3269.03,3273.0,3261.18,3262.13,100.0,3262.1,3269.48,3260.0,3260.06,100.0,3264.63,3272.4,3260.0,3260.31,18094.0
AMZN R735QTJ8XC9X,2021-01-04 09:33:00,3263.45,3269.5,3259.8,3269.03,100.0,3261.56,3265.0,3258.0,3262.1,100.0,3263.45,3268.25,3258.61,3266.8,13591.0
AMZN R735QTJ8XC9X,2021-01-04 09:34:00,3262.0,3266.0,3258.42,3263.45,100.0,3258.01,3261.56,3257.0,3261.56,100.0,3259.36,3263.39,3257.2,3263.39,15345.0
AMZN R735QTJ8XC9X,2021-01-04 09:35:00,3261.46,3262.49,3256.23,3262.0,300.0,3255.0,3261.57,3255.0,3258.01,400.0,3255.56,3262.0,3255.52,3259.37,18371.0
AMZN R735QTJ8XC9X,2021-01-04 09:36:00,3259.22,3261.46,3252.08,3261.46,100.0,3254.54,3256.08,3251.1,3255.0,100.0,3256.98,3258.66,3252.0,3256.62,15907.0
AMZN R735QTJ8XC9X,2021-01-04 09:37:00,3249.96,3259.22,3246.07,3259.22,200.0,3245.0,3254.91,3245.0,3254.54,500.0,3247.48,3256.89,3245.01,3255.65,18122.0
AMZN R735QTJ8XC9X,2021-01-04 09:38:00,3254.0,3255.0,3249.18,3249.96,100.0,3252.89,3253.78,3245.0,3245.0,200.0,3253.74,3254.99,3248.48,3248.67,10823.0
AMZN R735QTJ8XC9X,2021-01-04 09:39:00,3251.56,3254.75,3251.29,3254.0,100.0,3248.0,3253.19,3248.0,3252.89,600.0,3250.97,3254.41,3250.0,3253.74,11319.0
AMZN R735QTJ8XC9X,2021-01-04 09:40:00,3249.4,3253.51,3246.29,3251.56,100.0,3246.12,3249.86,3245.0,3248.0,100.0,3247.66,3252.99,3245.0,3250.97,13266.0
AMZN R735QTJ8XC9X,2021-01-04 09:41:00,3247.95,3249.41,3243.49,3249.4,100.0,3246.71,3247.0,3240.0,3246.12,100.0,3246.86,3248.68,3241.51,3248.38,13683.0
AMZN R735QTJ8XC9X,2021-01-04 09:42:00,3249.99,3251.57,3244.49,3247.95,100.0,3249.13,3249.75,3242.0,3246.71,100.0,3249.75,3250.9,3242.53,3247.84,11791.0
AMZN R735QTJ8XC9X,2021-01-04 09:43:00,3251.0,3252.98,3248.77,3249.99,700.0,3248.8,3251.09,3247.0,3249.13,100.0,3249.65,3252.5,3247.86,3249.56,17919.0
AMZN R735QTJ8XC9X,2021-01-04 09:44:00,3251.5,3252.98,3248.0,3251.0,200.0,3247.71,3251.12,3247.7,3248.8,100.0,3247.81,3252.4,3247.71,3250.76,16014.0
