symbol,time,close,high,low,open,volume
BABA VU1EHIDJYJXH,2018-01-02 10:00:00,177.75,178.47,175.7,176.51,5479054.0
BABA VU1EHIDJYJXH,2018-01-02 11:00:00,179.63,179.66,177.62,177.77,4027301.0
BABA VU1EHIDJYJXH,2018-01-02 12:00:00,181.06,181.23,179.63,179.63,6244918.0
BABA VU1EHIDJYJXH,2018-01-02 13:00:00,182.46,182.55,180.64,181.03,3338157.0
BABA VU1EHIDJYJXH,2018-01-02 14:00:00,182.1,182.81,181.9,182.5,2678613.0
BABA VU1EHIDJYJXH,2018-01-02 15:00:00,183.16,183.3,182.04,182.08,2664869.0
BABA VU1EHIDJYJXH,2018-01-02 16:00:00,183.65,184.1,182.84,183.16,5055256.0
BABA VU1EHIDJYJXH,2018-01-03 10:00:00,184.06,185.61,183.35,185.11,4167084.0
BABA VU1EHIDJYJXH,2018-01-03 11:00:00,184.24,184.86,183.65,184.04,3148082.0
BABA VU1EHIDJYJXH,2018-01-03 12:00:00,182.58,184.67,182.18,184.23,2970327.0
BABA VU1EHIDJYJXH,2018-01-03 13:00:00,182.6,182.93,181.4,182.53,2839530.0
BABA VU1EHIDJYJXH,2018-01-03 14:00:00,182.41,182.79,182.09,182.6,1257633.0
BABA VU1EHIDJYJXH,2018-01-03 15:00:00,183.78,183.78,182.13,182.4,1618787.0
BABA VU1EHIDJYJXH,2018-01-03 16:00:00,184.0,184.12,183.39,183.78,3219542.0
BABA VU1EHIDJYJXH,2018-01-04 10:00:00,186.91,187.74,185.4,185.98,4400833.0
BABA VU1EHIDJYJXH,2018-01-04 11:00:00,187.01,187.5,186.01,186.93,3885142.0
BABA VU1EHIDJYJXH,2018-01-04 12:00:00,185.56,187.06,185.49,187.01,2541422.0
BABA VU1EHIDJYJXH,2018-01-04 13:00:00,185.67,186.36,185.54,185.55,1876938.0
BABA VU1EHIDJYJXH,2018-01-04 14:00:00,185.05,185.69,184.45,185.69,1891505.0
BABA VU1EHIDJYJXH,2018-01-04 15:00:00,185.79,185.79,184.89,185.05,2000566.0
BABA VU1EHIDJYJXH,2018-01-04 16:00:00,185.71,185.93,185.37,185.78,2633115.0
BABA VU1EHIDJYJXH,2018-01-05 10:00:00,187.53,187.59,186.35,186.88,2450189.0
BABA VU1EHIDJYJXH,2018-01-05 11:00:00,188.52,188.88,187.5,187.51,3641473.0
BABA VU1EHIDJYJXH,2018-01-05 12:00:00,188.8,188.96,188.16,188.54,2194998.0
BABA VU1EHIDJYJXH,2018-01-05 13:00:00,189.04,189.2,188.58,188.83,1615632.0
BABA VU1EHIDJYJXH,2018-01-05 14:00:00,189.37,189.37,188.82,189.0,1441353.0
BABA VU1EHIDJYJXH,2018-01-05 15:00:00,189.39,189.61,189.1,189.38,1451329.0
BABA VU1EHIDJYJXH,2018-01-05 16:00:00,190.7,190.75,189.39,189.39,5023482.0
BABA VU1EHIDJYJXH,2018-01-08 10:00:00,191.15,191.66,189.09,190.46,3384104.0
BABA VU1EHIDJYJXH,2018-01-08 11:00:00,190.86,191.54,190.29,191.14,3182022.0
BABA VU1EHIDJYJXH,2018-01-08 12:00:00,190.46,191.0,190.17,190.84,2147835.0
BABA VU1EHIDJYJXH,2018-01-08 13:00:00,190.24,190.67,189.89,190.5,1276645.0
BABA VU1EHIDJYJXH,2018-01-08 14:00:00,190.14,190.28,189.87,190.19,1076299.0
BABA VU1EHIDJYJXH,2018-01-08 15:00:00,190.41,190.78,190.1,190.15,1451865.0
BABA VU1EHIDJYJXH,2018-01-08 16:00:00,190.33,190.6,189.92,190.44,2082558.0
BABA VU1EHIDJYJXH,2018-01-09 10:00:00,188.2,191.45,188.2,191.0,3813800.0
BABA VU1EHIDJYJXH,2018-01-09 11:00:00,189.48,190.36,188.0,188.21,3354608.0
BABA VU1EHIDJYJXH,2018-01-09 12:00:00,191.47,191.47,189.43,189.49,2685858.0
BABA VU1EHIDJYJXH,2018-01-09 13:00:00,191.34,192.49,190.85,191.48,3198460.0
BABA VU1EHIDJYJXH,2018-01-09 14:00:00,190.68,191.49,190.37,191.35,1701489.0
BABA VU1EHIDJYJXH,2018-01-09 15:00:00,190.64,190.85,189.78,190.69,1650885.0
BABA VU1EHIDJYJXH,2018-01-09 16:00:00,190.8,191.22,190.5,190.64,2903062.0
BABA VU1EHIDJYJXH,2018-01-10 10:00:00,187.81,189.59,187.1,188.0,3800236.0
BABA VU1EHIDJYJXH,2018-01-10 11:00:00,188.01,188.5,186.58,187.86,3684319.0
BABA VU1EHIDJYJXH,2018-01-10 12:00:00,189.32,189.55,187.96,187.99,2365474.0
BABA VU1EHIDJYJXH,2018-01-10 13:00:00,189.49,190.07,189.27,189.35,1313104.0
BABA VU1EHIDJYJXH,2018-01-10 14:00:00,190.28,190.29,189.25,189.52,971118.0
BABA VU1EHIDJYJXH,2018-01-10 15:00:00,189.54,190.37,188.9,190.3,1274380.0
BABA VU1EHIDJYJXH,2018-01-10 16:00:00,189.79,190.25,189.53,189.57,2543156.0
BABA VU1EHIDJYJXH,2018-01-11 10:00:00,189.21,190.43,188.69,190.0,2153967.0
BABA VU1EHIDJYJXH,2018-01-11 11:00:00,188.97,189.5,188.57,189.18,2138910.0
BABA VU1EHIDJYJXH,2018-01-11 12:00:00,188.67,189.27,188.42,188.98,1623830.0
BABA VU1EHIDJYJXH,2018-01-11 13:00:00,188.93,188.95,188.11,188.66,1494476.0
BABA VU1EHIDJYJXH,2018-01-11 14:00:00,188.34,189.21,188.15,188.99,1270036.0
BABA VU1EHIDJYJXH,2018-01-11 15:00:00,188.44,188.85,188.27,188.3,1056081.0
BABA VU1EHIDJYJXH,2018-01-11 16:00:00,188.75,188.85,188.4,188.43,2100609.0
BABA VU1EHIDJYJXH,2018-01-12 10:00:00,189.05,190.18,188.38,190.0,2515112.0
BABA VU1EHIDJYJXH,2018-01-12 11:00:00,189.28,189.9,189.01,189.09,2008458.0
BABA VU1EHIDJYJXH,2018-01-12 12:00:00,188.85,189.31,188.58,189.29,1263499.0
BABA VU1EHIDJYJXH,2018-01-12 13:00:00,189.4,189.55,188.77,188.88,1085574.0
BABA VU1EHIDJYJXH,2018-01-12 14:00:00,188.85,189.42,188.64,189.36,830564.0
BABA VU1EHIDJYJXH,2018-01-12 15:00:00,188.16,188.92,188.0,188.86,1052664.0
BABA VU1EHIDJYJXH,2018-01-12 16:00:00,187.76,188.28,187.28,188.17,2374205.0
BABA VU1EHIDJYJXH,2018-01-16 10:00:00,191.42,191.73,190.3,190.4,4144587.0
BABA VU1EHIDJYJXH,2018-01-16 11:00:00,188.38,191.43,188.0,191.41,4439962.0
BABA VU1EHIDJYJXH,2018-01-16 12:00:00,186.91,188.61,186.66,188.39,3685340.0
BABA VU1EHIDJYJXH,2018-01-16 13:00:00,185.86,187.32,185.62,186.92,2248130.0
BABA VU1EHIDJYJXH,2018-01-16 14:00:00,183.54,185.88,183.22,185.84,3041040.0
BABA VU1EHIDJYJXH,2018-01-16 15:00:00,182.46,184.19,182.25,183.54,3364259.0
BABA VU1EHIDJYJXH,2018-01-16 16:00:00,182.4,184.2,181.75,182.46,4898944.0
BABA VU1EHIDJYJXH,2018-01-17 10:00:00,181.46,184.14,181.12,183.3,3282010.0
BABA VU1EHIDJYJXH,2018-01-17 11:00:00,180.15,182.21,179.33,181.34,5132985.0
BABA VU1EHIDJYJXH,2018-01-17 12:00:00,181.59,181.75,180.1,180.17,2911071.0
BABA VU1EHIDJYJXH,2018-01-17 13:00:00,183.57,183.59,181.53,181.61,2376290.0
BABA VU1EHIDJYJXH,2018-01-17 14:00:00,184.15,184.78,183.23,183.52,2484459.0
BABA VU1EHIDJYJXH,2018-01-17 15:00:00,183.49,184.55,183.36,184.15,1538305.0
BABA VU1EHIDJYJXH,2018-01-17 16:00:00,183.83,183.87,183.15,183.49,2977619.0
BABA VU1EHIDJYJXH,2018-01-18 10:00:00,185.41,185.82,184.03,184.18,2709019.0
BABA VU1EHIDJYJXH,2018-01-18 11:00:00,184.02,185.41,182.7,185.39,3027394.0
BABA VU1EHIDJYJXH,2018-01-18 12:00:00,183.79,184.94,183.6,184.0,1501805.0
BABA VU1EHIDJYJXH,2018-01-18 13:00:00,183.43,184.38,183.36,183.79,1204808.0
BABA VU1EHIDJYJXH,2018-01-18 14:00:00,183.87,184.03,183.31,183.46,958391.0
BABA VU1EHIDJYJXH,2018-01-18 15:00:00,184.87,185.08,183.77,183.83,1168118.0
BABA VU1EHIDJYJXH,2018-01-18 16:00:00,184.4,185.22,183.85,184.84,3396331.0
BABA VU1EHIDJYJXH,2018-01-19 10:00:00,183.8,185.22,183.35,185.1,1949157.0
BABA VU1EHIDJYJXH,2018-01-19 11:00:00,183.13,183.98,182.8,183.81,4598606.0
BABA VU1EHIDJYJXH,2018-01-19 12:00:00,183.4,183.83,183.02,183.14,1148695.0
BABA VU1EHIDJYJXH,2018-01-19 13:00:00,183.77,183.84,183.25,183.4,816588.0
BABA VU1EHIDJYJXH,2018-01-19 14:00:00,183.03,183.81,182.9,183.76,1461275.0
BABA VU1EHIDJYJXH,2018-01-19 15:00:00,183.21,183.39,182.9,183.04,2257828.0
BABA VU1EHIDJYJXH,2018-01-19 16:00:00,184.08,184.1,183.19,183.22,2218617.0
BABA VU1EHIDJYJXH,2018-01-22 10:00:00,182.7,185.04,182.06,185.0,3208716.0
