symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
DIS R735QTJ8XC9X,2021-01-04 09:31:00,182.31,182.6,182.3,182.5,200.0,182.21,182.5,182.01,182.05,100.0,182.265,182.59,182.25,182.33,272123.0
DIS R735QTJ8XC9X,2021-01-04 09:32:00,182.28,182.42,182.12,182.31,200.0,182.16,182.22,182.1,182.21,100.0,182.23,182.28,182.11,182.22,42138.0
DIS R735QTJ8XC9X,2021-01-04 09:33:00,182.16,182.29,182.08,182.28,100.0,182.1,182.18,182.0,182.16,100.0,182.07,182.215,182.06,182.215,48217.0
DIS R735QTJ8XC9X,2021-01-04 09:34:00,182.08,182.3,181.99,182.16,200.0,181.93,182.18,181.9,182.1,300.0,182.04,182.26,181.93,182.1,50763.0
DIS R735QTJ8XC9X,2021-01-04 09:35:00,181.69,182.14,181.66,182.08,100.0,181.61,182.08,181.55,181.93,200.0,181.655,182.08,181.56,181.94,81372.0
DIS R735QTJ8XC9X,2021-01-04 09:36:00,181.36,181.75,181.36,181.69,100.0,181.32,181.7,181.32,181.61,100.0,181.36,181.71,181.36,181.67,42751.0
DIS R735QTJ8XC9X,2021-01-04 09:37:00,181.3,181.5,181.18,181.36,200.0,181.21,181.4,181.14,181.32,200.0,181.15,181.4,181.15,181.32,30564.0
DIS R735QTJ8XC9X,2021-01-04 09:38:00,180.98,181.34,180.93,181.3,200.0,180.83,181.24,180.8,181.21,400.0,180.86,181.27,180.86,181.27,52471.0
DIS R735QTJ8XC9X,2021-01-04 09:39:00,180.9,181.1,180.8,180.98,400.0,180.79,180.99,180.72,180.83,100.0,180.85,181.01,180.8,180.83,25602.0
DIS R735QTJ8XC9X,2021-01-04 09:40:00,181.09,181.18,180.86,180.9,200.0,181.03,181.11,180.75,180.79,100.0,181.11,181.17,180.84,180.89,20665.0
DIS R735QTJ8XC9X,2021-01-04 09:41:00,181.29,181.3,180.94,181.09,100.0,181.21,181.26,180.89,181.03,200.0,181.29,181.29,180.94,181.0,39378.0
DIS R735QTJ8XC9X,2021-01-04 09:42:00,180.97,181.3,180.92,181.29,100.0,180.88,181.22,180.85,181.21,400.0,180.925,181.22,180.91,181.22,24455.0
DIS R735QTJ8XC9X,2021-01-04 09:43:00,180.67,180.99,180.64,180.97,100.0,180.62,180.89,180.51,180.88,100.0,180.65,180.905,180.6,180.88,32480.0
DIS R735QTJ8XC9X,2021-01-04 09:44:00,180.63,180.72,180.6,180.67,200.0,180.56,180.65,180.55,180.62,100.0,180.59,180.69,180.59,180.655,30089.0
DIS R735QTJ8XC9X,2021-01-04 09:45:00,180.58,180.66,180.4,180.63,200.0,180.42,180.61,180.33,180.56,100.0,180.5,180.66,180.4,180.64,26840.0
DIS R735QTJ8XC9X,2021-01-04 09:46:00,180.53,180.59,180.39,180.58,200.0,180.41,180.48,180.32,180.42,100.0,180.42,180.53,180.37,180.39,25990.0
DIS R735QTJ8XC9X,2021-01-04 09:47:00,180.53,180.59,180.31,180.53,100.0,180.48,180.5,180.22,180.41,200.0,180.52,180.53,180.28,180.4,35973.0
DIS R735QTJ8XC9X,2021-01-04 09:48:00,180.08,180.59,180.04,180.53,200.0,180.01,180.51,180.01,180.48,100.0,180.035,180.55,180.01,180.49,37887.0
DIS R735QTJ8XC9X,2021-01-04 09:49:00,179.9,180.21,179.86,180.08,100.0,179.83,180.12,179.8,180.01,100.0,179.9,180.18,179.81,180.01,67809.0
DIS R735QTJ8XC9X,2021-01-04 09:50:00,179.69,180.12,179.66,179.9,200.0,179.61,180.05,179.6,179.83,900.0,179.65,180.05,179.65,179.98,26029.0
DIS R735QTJ8XC9X,2021-01-04 09:51:00,179.19,179.69,179.18,179.69,100.0,179.11,179.65,179.11,179.61,100.0,179.14,179.61,179.14,179.61,48569.0
DIS R735QTJ8XC9X,2021-01-04 09:52:00,179.57,179.57,179.11,179.19,100.0,179.5,179.5,179.01,179.11,200.0,179.5,179.5,179.03,179.15,28311.0
DIS R735QTJ8XC9X,2021-01-04 09:53:00,179.22,179.57,179.11,179.57,200.0,179.14,179.52,179.08,179.5,100.0,179.175,179.49,179.11,179.45,33968.0
DIS R735QTJ8XC9X,2021-01-04 09:54:00,179.37,179.57,179.22,179.22,100.0,179.31,179.49,179.14,179.14,100.0,179.45,179.5,179.18,179.18,23016.0
