symbol,time,close,high,low,open,volume
FB V6OIPNZEM8V9,2019-01-02 10:00:00,131.91,132.1,128.52,129.0,3804561.0
FB V6OIPNZEM8V9,2019-01-02 11:00:00,134.45,134.51,131.45,131.89,4470849.0
FB V6OIPNZEM8V9,2019-01-02 12:00:00,135.45,136.45,134.06,134.47,4979425.0
FB V6OIPNZEM8V9,2019-01-02 13:00:00,136.2,136.5,134.71,135.45,2979143.0
FB V6OIPNZEM8V9,2019-01-02 14:00:00,137.42,137.5,135.95,136.23,2827797.0
FB V6OIPNZEM8V9,2019-01-02 15:00:00,136.37,137.44,136.37,137.41,2061299.0
FB V6OIPNZEM8V9,2019-01-02 16:00:00,135.68,136.75,134.86,136.37,5992190.0
FB V6OIPNZEM8V9,2019-01-03 10:00:00,134.64,137.17,134.3,134.58,3743123.0
FB V6OIPNZEM8V9,2019-01-03 11:00:00,133.22,134.63,132.46,134.63,3544095.0
FB V6OIPNZEM8V9,2019-01-03 12:00:00,133.33,134.05,132.66,133.23,2574433.0
FB V6OIPNZEM8V9,2019-01-03 13:00:00,133.14,133.66,132.55,133.31,1674580.0
FB V6OIPNZEM8V9,2019-01-03 14:00:00,132.06,133.15,131.96,133.12,1929730.0
FB V6OIPNZEM8V9,2019-01-03 15:00:00,131.62,132.7,131.52,132.07,1812294.0
FB V6OIPNZEM8V9,2019-01-03 16:00:00,131.74,132.93,131.12,131.64,6007712.0
FB V6OIPNZEM8V9,2019-01-04 10:00:00,134.92,135.31,133.75,133.95,3162860.0
FB V6OIPNZEM8V9,2019-01-04 11:00:00,136.39,136.58,134.02,134.95,4694603.0
FB V6OIPNZEM8V9,2019-01-04 12:00:00,137.34,137.69,136.18,136.39,2642328.0
FB V6OIPNZEM8V9,2019-01-04 13:00:00,137.44,137.51,136.88,137.37,3803546.0
FB V6OIPNZEM8V9,2019-01-04 14:00:00,137.01,137.82,136.77,137.46,2871207.0
FB V6OIPNZEM8V9,2019-01-04 15:00:00,137.14,137.6,136.55,136.99,3159511.0
FB V6OIPNZEM8V9,2019-01-04 16:00:00,137.95,138.01,136.93,137.14,6726523.0
FB V6OIPNZEM8V9,2019-01-07 10:00:00,137.0,138.0,136.61,137.45,2519145.0
FB V6OIPNZEM8V9,2019-01-07 11:00:00,136.51,137.47,136.15,137.0,3305713.0
FB V6OIPNZEM8V9,2019-01-07 12:00:00,138.46,138.72,135.91,136.51,3610993.0
FB V6OIPNZEM8V9,2019-01-07 13:00:00,138.26,138.69,137.61,138.42,1531062.0
FB V6OIPNZEM8V9,2019-01-07 14:00:00,138.18,138.48,137.96,138.24,1554882.0
FB V6OIPNZEM8V9,2019-01-07 15:00:00,138.08,138.77,137.92,138.19,1532732.0
FB V6OIPNZEM8V9,2019-01-07 16:00:00,138.05,138.87,137.67,138.06,4422229.0
FB V6OIPNZEM8V9,2019-01-08 10:00:00,141.13,142.82,139.82,139.89,4641977.0
FB V6OIPNZEM8V9,2019-01-08 11:00:00,139.92,141.33,139.54,141.08,3691927.0
FB V6OIPNZEM8V9,2019-01-08 12:00:00,142.8,142.87,139.87,139.95,3797017.0
FB V6OIPNZEM8V9,2019-01-08 13:00:00,142.21,143.14,141.93,142.79,2761626.0
FB V6OIPNZEM8V9,2019-01-08 14:00:00,142.05,142.51,141.71,142.2,2364409.0
FB V6OIPNZEM8V9,2019-01-08 15:00:00,141.71,142.6,141.69,142.03,1744489.0
FB V6OIPNZEM8V9,2019-01-08 16:00:00,142.53,142.71,141.64,141.71,5581249.0
FB V6OIPNZEM8V9,2019-01-09 10:00:00,143.16,143.69,141.29,142.98,3175985.0
FB V6OIPNZEM8V9,2019-01-09 11:00:00,142.38,143.86,141.75,143.2,3336859.0
FB V6OIPNZEM8V9,2019-01-09 12:00:00,143.62,143.8,142.23,142.38,2273682.0
FB V6OIPNZEM8V9,2019-01-09 13:00:00,144.52,144.7,143.4,143.61,2686560.0
FB V6OIPNZEM8V9,2019-01-09 14:00:00,143.79,144.67,143.63,144.51,1704857.0
FB V6OIPNZEM8V9,2019-01-09 15:00:00,144.08,144.3,142.73,143.75,2312403.0
FB V6OIPNZEM8V9,2019-01-09 16:00:00,144.23,144.45,143.67,144.06,4573549.0
FB V6OIPNZEM8V9,2019-01-10 10:00:00,141.42,143.26,141.37,143.08,2467724.0
FB V6OIPNZEM8V9,2019-01-10 11:00:00,142.88,143.19,140.84,141.43,3140050.0
FB V6OIPNZEM8V9,2019-01-10 12:00:00,143.01,143.5,142.52,142.9,1755085.0
FB V6OIPNZEM8V9,2019-01-10 13:00:00,144.36,144.5,142.94,142.98,1656039.0
FB V6OIPNZEM8V9,2019-01-10 14:00:00,143.51,144.38,142.56,144.36,1573686.0
FB V6OIPNZEM8V9,2019-01-10 15:00:00,144.02,144.41,143.49,143.49,1356855.0
FB V6OIPNZEM8V9,2019-01-10 16:00:00,144.2,144.56,143.92,144.01,3307247.0
FB V6OIPNZEM8V9,2019-01-11 10:00:00,143.06,143.85,142.57,143.5,1469789.0
FB V6OIPNZEM8V9,2019-01-11 11:00:00,143.4,143.77,142.58,143.07,1956068.0
FB V6OIPNZEM8V9,2019-01-11 12:00:00,144.08,144.16,142.85,143.37,1497932.0
FB V6OIPNZEM8V9,2019-01-11 13:00:00,144.77,145.36,143.97,144.08,2117352.0
FB V6OIPNZEM8V9,2019-01-11 14:00:00,143.75,144.89,143.75,144.74,1113396.0
FB V6OIPNZEM8V9,2019-01-11 15:00:00,143.66,144.2,143.57,143.75,1058653.0
FB V6OIPNZEM8V9,2019-01-11 16:00:00,143.8,143.97,143.39,143.67,2902044.0
FB V6OIPNZEM8V9,2019-01-14 10:00:00,142.41,142.85,141.27,142.02,2914421.0
FB V6OIPNZEM8V9,2019-01-14 11:00:00,144.08,144.28,142.12,142.43,3394027.0
FB V6OIPNZEM8V9,2019-01-14 12:00:00,143.76,144.36,143.56,144.07,2032050.0
