symbol,time,close,high,low,open,volume
GLD T3SKPOF94JFP,2012-01-03 10:00:00,155.38,155.56,154.55,154.77,1809941.0
GLD T3SKPOF94JFP,2012-01-03 11:00:00,155.87,155.95,155.2,155.37,2848321.0
GLD T3SKPOF94JFP,2012-01-03 12:00:00,155.82,156.29,155.77,155.88,2348521.0
GLD T3SKPOF94JFP,2012-01-03 13:00:00,155.49,156.0,155.39,155.83,1090226.0
GLD T3SKPOF94JFP,2012-01-03 14:00:00,155.61,155.83,155.37,155.47,1405356.0
GLD T3SKPOF94JFP,2012-01-03 15:00:00,156.02,156.13,155.58,155.61,1256327.0
GLD T3SKPOF94JFP,2012-01-03 16:00:00,155.92,156.18,155.82,156.0,1845898.0
GLD T3SKPOF94JFP,2012-01-04 10:00:00,156.94,156.94,155.34,155.46,2375423.0
GLD T3SKPOF94JFP,2012-01-04 11:00:00,156.61,157.02,155.83,156.94,3347864.0
GLD T3SKPOF94JFP,2012-01-04 12:00:00,156.66,156.84,156.29,156.57,1174988.0
GLD T3SKPOF94JFP,2012-01-04 13:00:00,157.16,157.2,156.6,156.65,1260612.0
GLD T3SKPOF94JFP,2012-01-04 14:00:00,157.09,157.37,156.61,157.15,1053670.0
GLD T3SKPOF94JFP,2012-01-04 15:00:00,156.85,157.07,156.76,157.04,685619.0
GLD T3SKPOF94JFP,2012-01-04 16:00:00,156.71,156.91,156.54,156.83,1108569.0
GLD T3SKPOF94JFP,2012-01-05 10:00:00,155.81,156.08,155.25,155.38,1502980.0
GLD T3SKPOF94JFP,2012-01-05 11:00:00,156.39,156.56,155.43,155.8,1744400.0
GLD T3SKPOF94JFP,2012-01-05 12:00:00,156.47,156.56,155.79,156.38,1488301.0
GLD T3SKPOF94JFP,2012-01-05 13:00:00,157.24,157.24,156.42,156.54,1455708.0
GLD T3SKPOF94JFP,2012-01-05 14:00:00,157.8,157.87,157.1,157.25,2071116.0
GLD T3SKPOF94JFP,2012-01-05 15:00:00,157.55,157.99,157.55,157.8,1460550.0
GLD T3SKPOF94JFP,2012-01-05 16:00:00,157.78,158.02,157.53,157.57,1297011.0
