symbol,time,close,high,low,open,volume
IVR UDRR6UBZQS85,2012-01-03 10:00:00,3.91562641,3.92388142,3.90186806,3.91562641,200843.0
IVR UDRR6UBZQS85,2012-01-03 11:00:00,3.93213643,3.9348881,3.91287474,3.91287474,308157.0
IVR UDRR6UBZQS85,2012-01-03 12:00:00,3.93213643,3.9348881,3.92112975,3.93213643,123694.0
IVR UDRR6UBZQS85,2012-01-03 13:00:00,3.92388142,3.9348881,3.91837808,3.92938476,139635.0
IVR UDRR6UBZQS85,2012-01-03 14:00:00,3.94314311,3.94314311,3.91837808,3.92388142,165756.0
IVR UDRR6UBZQS85,2012-01-03 15:00:00,3.95965313,3.96515647,3.94039144,3.94039144,414446.0
IVR UDRR6UBZQS85,2012-01-03 16:00:00,3.94314311,3.96515647,3.94039144,3.95965313,453175.0
IVR UDRR6UBZQS85,2012-01-04 10:00:00,3.92938476,3.9348881,3.91012307,3.92388142,196972.0
IVR UDRR6UBZQS85,2012-01-04 11:00:00,3.94039144,3.94039144,3.92388142,3.92663309,193700.0
IVR UDRR6UBZQS85,2012-01-04 12:00:00,3.94314311,3.94589478,3.9348881,3.93763977,207114.0
IVR UDRR6UBZQS85,2012-01-04 13:00:00,3.94864645,3.95139812,3.94314311,3.94314311,96525.0
IVR UDRR6UBZQS85,2012-01-04 14:00:00,3.94039144,3.94864645,3.94039144,3.94589478,128560.0
IVR UDRR6UBZQS85,2012-01-04 15:00:00,3.93763977,3.94039144,3.93213643,3.94039144,183129.0
IVR UDRR6UBZQS85,2012-01-04 16:00:00,3.92938476,3.94864645,3.92938476,3.93763977,356188.0
IVR UDRR6UBZQS85,2012-01-05 10:00:00,3.88810971,3.91562641,3.88260637,3.89361305,138915.0
IVR UDRR6UBZQS85,2012-01-05 11:00:00,3.87710303,3.90186806,3.87159969,3.88810971,168509.0
IVR UDRR6UBZQS85,2012-01-05 12:00:00,3.89361305,3.89911639,3.87435136,3.87710303,197208.0
IVR UDRR6UBZQS85,2012-01-05 13:00:00,3.91012307,3.91287474,3.89086138,3.89361305,98084.0
IVR UDRR6UBZQS85,2012-01-05 14:00:00,3.9348881,3.9348881,3.9073714,3.91012307,115966.0
IVR UDRR6UBZQS85,2012-01-05 15:00:00,3.89361305,3.94314311,3.89361305,3.9348881,190585.0
IVR UDRR6UBZQS85,2012-01-05 16:00:00,3.84683466,3.89361305,3.83857965,3.89361305,871025.0
IVR UDRR6UBZQS85,2012-01-06 10:00:00,3.83857965,3.852338,3.8248213,3.82757297,309097.0
IVR UDRR6UBZQS85,2012-01-06 11:00:00,3.9073714,3.92112975,3.83857965,3.84133132,444654.0
IVR UDRR6UBZQS85,2012-01-06 12:00:00,3.87159969,3.91837808,3.87159969,3.9073714,247354.0
IVR UDRR6UBZQS85,2012-01-06 13:00:00,3.88810971,3.89086138,3.86884802,3.87159969,162325.0
IVR UDRR6UBZQS85,2012-01-06 14:00:00,3.90461973,3.91012307,3.88260637,3.88810971,187482.0
IVR UDRR6UBZQS85,2012-01-06 15:00:00,3.89636472,3.91287474,3.89636472,3.90461973,152997.0
IVR UDRR6UBZQS85,2012-01-06 16:00:00,3.88260637,3.9073714,3.87710303,3.89911639,468512.0
IVR UDRR6UBZQS85,2012-01-09 10:00:00,3.89361305,3.91012307,3.8798547,3.90461973,168997.0
IVR UDRR6UBZQS85,2012-01-09 11:00:00,3.88260637,3.90186806,3.8798547,3.89361305,213078.0
IVR UDRR6UBZQS85,2012-01-09 12:00:00,3.8798547,3.89911639,3.86884802,3.88260637,259242.0
IVR UDRR6UBZQS85,2012-01-09 13:00:00,3.88535804,3.89361305,3.8798547,3.88260637,91675.0
IVR UDRR6UBZQS85,2012-01-09 14:00:00,3.87710303,3.88810971,3.87710303,3.88535804,107994.0
IVR UDRR6UBZQS85,2012-01-09 15:00:00,3.88260637,3.88260637,3.87710303,3.87710303,125658.0
IVR UDRR6UBZQS85,2012-01-09 16:00:00,3.88260637,3.88535804,3.87435136,3.88260637,401481.0
IVR UDRR6UBZQS85,2012-01-10 10:00:00,3.90186806,3.91562641,3.90186806,3.91012307,104443.0
IVR UDRR6UBZQS85,2012-01-10 11:00:00,3.90461973,3.91562641,3.90186806,3.90186806,116690.0
IVR UDRR6UBZQS85,2012-01-10 12:00:00,3.91837808,3.91837808,3.90461973,3.9073714,80058.0
