symbol,time,close,high,low,open,volume
TBT U297ZHBXJ5NP,2021-01-04 10:00:00,16.53,16.6706,16.53,16.65,304141.0
TBT U297ZHBXJ5NP,2021-01-04 11:00:00,16.44,16.56,16.42,16.52,291150.0
TBT U297ZHBXJ5NP,2021-01-04 12:00:00,16.38,16.485,16.36,16.43,126726.0
TBT U297ZHBXJ5NP,2021-01-04 13:00:00,16.37,16.4,16.345,16.37,106860.0
TBT U297ZHBXJ5NP,2021-01-04 14:00:00,16.41,16.42,16.36,16.365,106596.0
TBT U297ZHBXJ5NP,2021-01-04 15:00:00,16.44,16.45,16.41,16.41,190611.0
TBT U297ZHBXJ5NP,2021-01-04 16:00:00,16.47,16.51,16.41,16.43,233678.0
TBT U297ZHBXJ5NP,2021-01-05 10:00:00,16.62,16.68,16.58,16.58,133623.0
TBT U297ZHBXJ5NP,2021-01-05 11:00:00,16.7,16.74,16.63,16.65,345846.0
TBT U297ZHBXJ5NP,2021-01-05 12:00:00,16.79,16.84,16.71,16.71,373491.0
TBT U297ZHBXJ5NP,2021-01-05 13:00:00,16.79,16.829,16.78,16.78,158275.0
TBT U297ZHBXJ5NP,2021-01-05 14:00:00,16.81,16.81,16.77,16.78,84178.0
TBT U297ZHBXJ5NP,2021-01-05 15:00:00,16.76,16.82,16.76,16.805,196569.0
TBT U297ZHBXJ5NP,2021-01-05 16:00:00,16.68,16.755,16.68,16.75,279403.0
TBT U297ZHBXJ5NP,2021-01-06 10:00:00,17.525,17.525,17.2523,17.26,1608081.0
TBT U297ZHBXJ5NP,2021-01-06 11:00:00,17.51,17.585,17.49,17.525,1034312.0
TBT U297ZHBXJ5NP,2021-01-06 12:00:00,17.495,17.565,17.46,17.515,727281.0
TBT U297ZHBXJ5NP,2021-01-06 13:00:00,17.515,17.535,17.45,17.495,415966.0
TBT U297ZHBXJ5NP,2021-01-06 14:00:00,17.5,17.54,17.49,17.52,351897.0
TBT U297ZHBXJ5NP,2021-01-06 15:00:00,17.5,17.555,17.46,17.505,380662.0
TBT U297ZHBXJ5NP,2021-01-06 16:00:00,17.39,17.495,17.375,17.49,652242.0
TBT U297ZHBXJ5NP,2021-01-07 10:00:00,17.65,17.705,17.63,17.69,439909.0
TBT U297ZHBXJ5NP,2021-01-07 11:00:00,17.795,17.795,17.639,17.65,728212.0
TBT U297ZHBXJ5NP,2021-01-07 12:00:00,17.72,17.83,17.68,17.79,781694.0
TBT U297ZHBXJ5NP,2021-01-07 13:00:00,17.71,17.78,17.69,17.72,277306.0
TBT U297ZHBXJ5NP,2021-01-07 14:00:00,17.69,17.755,17.69,17.71,260654.0
TBT U297ZHBXJ5NP,2021-01-07 15:00:00,17.66,17.715,17.64,17.695,533449.0
TBT U297ZHBXJ5NP,2021-01-07 16:00:00,17.7,17.72,17.64,17.65,1017543.0
TBT U297ZHBXJ5NP,2021-01-08 10:00:00,17.75,17.81,17.74,17.79,259010.0
TBT U297ZHBXJ5NP,2021-01-08 11:00:00,17.81,17.89,17.76,17.76,345065.0
TBT U297ZHBXJ5NP,2021-01-08 12:00:00,17.89,17.94,17.81,17.81,484608.0
TBT U297ZHBXJ5NP,2021-01-08 13:00:00,17.87,17.965,17.84,17.89,623264.0
TBT U297ZHBXJ5NP,2021-01-08 14:00:00,17.73,17.9,17.68,17.88,521044.0
TBT U297ZHBXJ5NP,2021-01-08 15:00:00,17.78,17.795,17.73,17.74,394009.0
TBT U297ZHBXJ5NP,2021-01-08 16:00:00,17.79,17.895,17.785,17.79,785748.0
