symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
TBT U297ZHBXJ5NP,2021-01-04 09:31:00,16.68,16.68,16.65,16.65,15300.0,16.67,16.67,16.64,16.64,1700.0,16.67,16.6701,16.64,16.65,128016.0
TBT U297ZHBXJ5NP,2021-01-04 09:32:00,16.68,16.68,16.66,16.68,9400.0,16.67,16.67,16.65,16.67,7900.0,16.6706,16.6706,16.66,16.67,17397.0
TBT U297ZHBXJ5NP,2021-01-04 09:33:00,16.68,16.68,16.67,16.68,12600.0,16.67,16.67,16.66,16.67,4300.0,16.665,16.67,16.665,16.67,1757.0
TBT U297ZHBXJ5NP,2021-01-04 09:34:00,16.67,16.68,16.67,16.68,6300.0,16.66,16.67,16.66,16.67,15800.0,16.6699,16.67,16.6607,16.67,4439.0
TBT U297ZHBXJ5NP,2021-01-04 09:35:00,16.66,16.67,16.66,16.67,15100.0,16.65,16.66,16.65,16.66,5300.0,16.6634,16.6634,16.6634,16.6634,1220.0
TBT U297ZHBXJ5NP,2021-01-04 09:36:00,16.64,16.66,16.64,16.66,4300.0,16.63,16.65,16.63,16.65,23400.0,16.65,16.66,16.65,16.659,21426.0
TBT U297ZHBXJ5NP,2021-01-04 09:37:00,16.63,16.65,16.63,16.64,8900.0,16.62,16.64,16.62,16.63,8100.0,16.6296,16.64,16.625,16.64,2736.0
TBT U297ZHBXJ5NP,2021-01-04 09:38:00,16.63,16.64,16.63,16.63,15600.0,16.62,16.63,16.62,16.62,9900.0,16.63,16.64,16.62,16.6201,23474.0
TBT U297ZHBXJ5NP,2021-01-04 09:39:00,16.6,16.63,16.6,16.63,8100.0,16.59,16.62,16.59,16.62,16800.0,16.5975,16.6269,16.5975,16.6269,7729.0
TBT U297ZHBXJ5NP,2021-01-04 09:40:00,16.61,16.61,16.6,16.6,5700.0,16.6,16.6,16.59,16.59,10500.0,16.6034,16.605,16.6007,16.605,1004.0
TBT U297ZHBXJ5NP,2021-01-04 09:41:00,16.62,16.62,16.61,16.61,15500.0,16.61,16.61,16.6,16.6,15900.0,16.61,16.61,16.6034,16.606,5550.0
TBT U297ZHBXJ5NP,2021-01-04 09:42:00,16.62,16.62,16.61,16.62,11900.0,16.61,16.61,16.6,16.61,13300.0,16.606,16.6141,16.606,16.61,6302.0
TBT U297ZHBXJ5NP,2021-01-04 09:43:00,16.63,16.63,16.62,16.62,8500.0,16.62,16.62,16.61,16.61,8700.0,16.6265,16.6265,16.6186,16.62,4660.0
TBT U297ZHBXJ5NP,2021-01-04 09:44:00,16.61,16.63,16.61,16.63,3200.0,16.6,16.62,16.6,16.62,14400.0,16.61,16.6267,16.61,16.6267,5350.0
TBT U297ZHBXJ5NP,2021-01-04 09:45:00,16.61,16.61,16.61,16.61,24000.0,16.6,16.6,16.6,16.6,3600.0,16.6,16.6015,16.6,16.6015,630.0
TBT U297ZHBXJ5NP,2021-01-04 09:46:00,16.62,16.62,16.61,16.61,19100.0,16.61,16.61,16.6,16.6,11000.0,16.6134,16.62,16.61,16.61,22991.0
TBT U297ZHBXJ5NP,2021-01-04 09:47:00,16.62,16.62,16.62,16.62,20100.0,16.61,16.61,16.61,16.61,8000.0,16.615,16.615,16.615,16.615,1000.0
TBT U297ZHBXJ5NP,2021-01-04 09:48:00,16.62,16.62,16.62,16.62,16600.0,16.61,16.61,16.61,16.61,8000.0,16.615,16.62,16.6125,16.6125,3750.0
TBT U297ZHBXJ5NP,2021-01-04 09:49:00,16.61,16.62,16.61,16.62,15300.0,16.6,16.61,16.6,16.61,11900.0,16.605,16.605,16.605,16.605,1271.0
TBT U297ZHBXJ5NP,2021-01-04 09:50:00,16.61,16.61,16.61,16.61,12700.0,16.6,16.6,16.6,16.6,16300.0,16.6013,16.609,16.6,16.609,4946.0
TBT U297ZHBXJ5NP,2021-01-04 09:51:00,16.59,16.61,16.59,16.61,11800.0,16.58,16.6,16.58,16.6,11200.0,16.599,16.6,16.599,16.6,2403.0
TBT U297ZHBXJ5NP,2021-01-04 09:52:00,16.59,16.59,16.59,16.59,18200.0,16.58,16.58,16.58,16.58,9400.0,16.5833,16.5833,16.5833,16.5833,152.0
TBT U297ZHBXJ5NP,2021-01-04 09:53:00,16.56,16.59,16.56,16.59,9100.0,16.55,16.58,16.55,16.58,12300.0,16.58,16.58,16.58,16.58,3072.0
TBT U297ZHBXJ5NP,2021-01-04 09:54:00,16.57,16.57,16.56,16.56,18200.0,16.56,16.56,16.55,16.55,300.0,16.56,16.565,16.5565,16.5565,7990.0
TBT U297ZHBXJ5NP,2021-01-04 09:55:00,16.58,16.58,16.56,16.57,18300.0,16.57,16.57,16.55,16.56,5700.0,16.57,16.57,16.56,16.56,3745.0
TBT U297ZHBXJ5NP,2021-01-04 09:56:00,16.58,16.58,16.58,16.58,7100.0,16.57,16.57,16.57,16.57,11900.0,16.5717,16.5767,16.5711,16.5711,4006.0
TBT U297ZHBXJ5NP,2021-01-04 09:57:00,16.57,16.58,16.57,16.58,8000.0,16.56,16.57,16.56,16.57,8200.0,16.58,16.58,16.5791,16.5791,6000.0
TBT U297ZHBXJ5NP,2021-01-04 09:58:00,16.56,16.58,16.56,16.57,5100.0,16.55,16.57,16.55,16.56,15500.0,16.56,16.57,16.56,16.57,1670.0
TBT U297ZHBXJ5NP,2021-01-04 09:59:00,16.56,16.56,16.56,16.56,6000.0,16.55,16.55,16.55,16.55,10400.0,16.56,16.57,16.56,16.57,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:00:00,16.52,16.56,16.52,16.56,6200.0,16.51,16.55,16.51,16.55,200.0,16.53,16.55,16.53,16.55,9455.0
TBT U297ZHBXJ5NP,2021-01-04 10:01:00,16.52,16.53,16.52,16.52,17400.0,16.51,16.52,16.51,16.51,15400.0,16.53,16.55,16.53,16.55,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:02:00,16.52,16.53,16.52,16.52,6900.0,16.51,16.52,16.51,16.51,7400.0,16.52,16.52,16.52,16.52,804.0
TBT U297ZHBXJ5NP,2021-01-04 10:03:00,16.52,16.52,16.52,16.52,900.0,16.51,16.51,16.51,16.51,17200.0,16.5199,16.5199,16.5159,16.5159,8867.0
TBT U297ZHBXJ5NP,2021-01-04 10:04:00,16.52,16.52,16.52,16.52,12100.0,16.51,16.51,16.51,16.51,5800.0,16.5199,16.5199,16.5159,16.5159,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:05:00,16.53,16.53,16.51,16.52,9400.0,16.52,16.52,16.5,16.51,15100.0,16.51,16.51,16.505,16.5095,2309.0
TBT U297ZHBXJ5NP,2021-01-04 10:06:00,16.54,16.54,16.53,16.53,18800.0,16.53,16.53,16.52,16.52,17800.0,16.53,16.53,16.53,16.53,2163.0
TBT U297ZHBXJ5NP,2021-01-04 10:07:00,16.53,16.54,16.52,16.54,10800.0,16.52,16.53,16.51,16.53,12400.0,16.53,16.53,16.53,16.53,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:08:00,16.54,16.54,16.53,16.53,22800.0,16.53,16.53,16.52,16.52,6800.0,16.53,16.5325,16.525,16.525,8303.0
TBT U297ZHBXJ5NP,2021-01-04 10:09:00,16.53,16.54,16.53,16.54,6600.0,16.52,16.53,16.52,16.53,20100.0,16.53,16.53,16.53,16.53,852.0
TBT U297ZHBXJ5NP,2021-01-04 10:10:00,16.54,16.54,16.53,16.53,24100.0,16.53,16.53,16.52,16.52,5100.0,16.535,16.54,16.52,16.53,57010.0
TBT U297ZHBXJ5NP,2021-01-04 10:11:00,16.53,16.54,16.53,16.54,15300.0,16.52,16.53,16.52,16.53,9100.0,16.535,16.535,16.53,16.535,11375.0
TBT U297ZHBXJ5NP,2021-01-04 10:12:00,16.54,16.54,16.53,16.53,17100.0,16.53,16.53,16.52,16.52,7100.0,16.53,16.53,16.53,16.53,500.0
TBT U297ZHBXJ5NP,2021-01-04 10:13:00,16.55,16.55,16.53,16.54,17700.0,16.54,16.54,16.52,16.53,14400.0,16.545,16.545,16.53,16.53,3264.0
TBT U297ZHBXJ5NP,2021-01-04 10:14:00,16.55,16.55,16.55,16.55,14800.0,16.54,16.54,16.54,16.54,11200.0,16.55,16.55,16.55,16.55,4660.0
TBT U297ZHBXJ5NP,2021-01-04 10:15:00,16.56,16.56,16.55,16.55,2700.0,16.55,16.55,16.54,16.54,20200.0,16.55,16.55,16.55,16.55,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:16:00,16.56,16.56,16.56,16.56,14400.0,16.55,16.55,16.55,16.55,8400.0,16.56,16.56,16.56,16.56,4242.0
TBT U297ZHBXJ5NP,2021-01-04 10:17:00,16.55,16.56,16.55,16.56,9100.0,16.54,16.55,16.54,16.55,11900.0,16.56,16.56,16.56,16.56,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:18:00,16.53,16.55,16.53,16.55,18500.0,16.52,16.54,16.52,16.54,4800.0,16.54,16.54,16.54,16.54,900.0
TBT U297ZHBXJ5NP,2021-01-04 10:19:00,16.57,16.57,16.53,16.53,20700.0,16.56,16.56,16.52,16.52,3900.0,16.53,16.53,16.53,16.53,5760.0
TBT U297ZHBXJ5NP,2021-01-04 10:20:00,16.56,16.57,16.56,16.57,18600.0,16.55,16.56,16.55,16.56,17700.0,16.53,16.53,16.53,16.53,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:21:00,16.55,16.56,16.55,16.56,18700.0,16.54,16.55,16.54,16.55,14500.0,16.545,16.545,16.545,16.545,16407.0
TBT U297ZHBXJ5NP,2021-01-04 10:22:00,16.55,16.55,16.54,16.55,16400.0,16.54,16.54,16.53,16.54,5100.0,16.54,16.54,16.54,16.54,3769.0
TBT U297ZHBXJ5NP,2021-01-04 10:23:00,16.5,16.55,16.5,16.55,14200.0,16.49,16.54,16.49,16.54,17300.0,16.49,16.51,16.49,16.51,17797.0
TBT U297ZHBXJ5NP,2021-01-04 10:24:00,16.48,16.5,16.47,16.5,21000.0,16.47,16.49,16.46,16.49,9000.0,16.48,16.48,16.48,16.48,3435.0
TBT U297ZHBXJ5NP,2021-01-04 10:25:00,16.48,16.48,16.46,16.48,18000.0,16.47,16.47,16.45,16.47,9400.0,16.47,16.48,16.47,16.47,12483.0
TBT U297ZHBXJ5NP,2021-01-04 10:26:00,16.47,16.48,16.47,16.48,1800.0,16.46,16.47,16.46,16.47,18700.0,16.46,16.46,16.46,16.46,300.0
TBT U297ZHBXJ5NP,2021-01-04 10:27:00,16.45,16.48,16.44,16.47,20000.0,16.44,16.47,16.43,16.46,3900.0,16.45,16.46,16.45,16.46,18410.0
TBT U297ZHBXJ5NP,2021-01-04 10:28:00,16.47,16.47,16.45,16.45,17700.0,16.46,16.46,16.44,16.44,11400.0,16.45,16.46,16.45,16.46,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:29:00,16.47,16.47,16.47,16.47,2200.0,16.46,16.46,16.46,16.46,12100.0,16.45,16.46,16.45,16.46,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:30:00,16.48,16.48,16.47,16.47,14500.0,16.47,16.47,16.46,16.46,4100.0,16.47,16.47,16.47,16.47,600.0
TBT U297ZHBXJ5NP,2021-01-04 10:31:00,16.47,16.48,16.46,16.48,13000.0,16.46,16.47,16.45,16.47,9400.0,16.46,16.46,16.46,16.46,1729.0
TBT U297ZHBXJ5NP,2021-01-04 10:32:00,16.46,16.47,16.46,16.47,5400.0,16.45,16.46,16.45,16.46,14500.0,16.46,16.46,16.46,16.46,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:33:00,16.46,16.46,16.45,16.46,10600.0,16.45,16.45,16.44,16.45,9300.0,16.46,16.46,16.46,16.46,0.0
TBT U297ZHBXJ5NP,2021-01-04 10:34:00,16.46,16.46,16.45,16.46,2400.0,16.45,16.45,16.44,16.45,12600.0,16.455,16.455,16.45,16.45,5952.0
TBT U297ZHBXJ5NP,2021-01-04 10:35:00,16.46,16.47,16.46,16.46,14400.0,16.45,16.46,16.45,16.45,22400.0,16.465,16.465,16.465,16.465,1720.0
TBT U297ZHBXJ5NP,2021-01-04 10:36:00,16.45,16.46,16.44,16.46,23600.0,16.44,16.45,16.43,16.45,11300.0,16.45,16.455,16.45,16.45,7736.0
TBT U297ZHBXJ5NP,2021-01-04 10:37:00,16.44,16.45,16.43,16.45,2400.0,16.43,16.44,16.42,16.44,13700.0,16.43,16.43,16.43,16.43,340.0
TBT U297ZHBXJ5NP,2021-01-04 10:38:00,16.44,16.44,16.44,16.44,21800.0,16.43,16.43,16.43,16.43,8600.0,16.435,16.435,16.435,16.435,100.0
