symbol,time,close,high,low,open,volume
TSLA UNU3P8Y3WFAD,2021-01-04 10:00:00,738.19,743.76,717.0,720.0,9971576.0
TSLA UNU3P8Y3WFAD,2021-01-04 11:00:00,731.28,744.47,730.5,738.23,9073863.0
TSLA UNU3P8Y3WFAD,2021-01-04 12:00:00,730.87,736.82,728.25,731.43,5891778.0
TSLA UNU3P8Y3WFAD,2021-01-04 13:00:00,724.0,732.67,718.03,730.92,7237917.0
TSLA UNU3P8Y3WFAD,2021-01-04 14:00:00,733.25,736.49,723.31,724.07,4535685.0
TSLA UNU3P8Y3WFAD,2021-01-04 15:00:00,730.37,733.99,724.3,733.18,3721189.0
TSLA UNU3P8Y3WFAD,2021-01-04 16:00:00,729.77,732.72,726.84,730.37,5073852.0
TSLA UNU3P8Y3WFAD,2021-01-05 10:00:00,721.94,728.43,719.2,723.92,4980617.0
TSLA UNU3P8Y3WFAD,2021-01-05 11:00:00,734.65,738.5,720.3,721.94,7245049.0
TSLA UNU3P8Y3WFAD,2021-01-05 12:00:00,737.4,740.84,733.4,734.76,4293332.0
TSLA UNU3P8Y3WFAD,2021-01-05 13:00:00,738.15,738.33,733.5,737.47,2670726.0
TSLA UNU3P8Y3WFAD,2021-01-05 14:00:00,738.69,740.6,737.0,738.21,2644837.0
TSLA UNU3P8Y3WFAD,2021-01-05 15:00:00,736.05,739.72,735.21,738.69,2230780.0
TSLA UNU3P8Y3WFAD,2021-01-05 16:00:00,735.11,736.8,731.1,736.07,4444883.0
TSLA UNU3P8Y3WFAD,2021-01-06 10:00:00,751.4,761.5,750.05,758.0,6772177.0
TSLA UNU3P8Y3WFAD,2021-01-06 11:00:00,762.86,763.8,749.11,751.54,7816773.0
TSLA UNU3P8Y3WFAD,2021-01-06 12:00:00,771.14,772.7,762.86,763.18,6916599.0
TSLA UNU3P8Y3WFAD,2021-01-06 13:00:00,771.125,773.75,768.34,771.14,3587831.0
TSLA UNU3P8Y3WFAD,2021-01-06 14:00:00,771.7,772.13,768.56,771.18,2348021.0
TSLA UNU3P8Y3WFAD,2021-01-06 15:00:00,761.83,774.0,750.0,771.76,7751635.0
TSLA UNU3P8Y3WFAD,2021-01-06 16:00:00,755.98,762.5,754.78,761.67,6682994.0
TSLA UNU3P8Y3WFAD,2021-01-07 10:00:00,786.79,792.98,775.15,778.25,7902544.0
TSLA UNU3P8Y3WFAD,2021-01-07 11:00:00,797.2,801.0,781.125,786.76,10123625.0
TSLA UNU3P8Y3WFAD,2021-01-07 12:00:00,798.43,811.61,797.0,797.23,9074726.0
TSLA UNU3P8Y3WFAD,2021-01-07 13:00:00,798.89,802.8,798.0,798.47,3826247.0
TSLA UNU3P8Y3WFAD,2021-01-07 14:00:00,805.32,805.75,795.31,798.98,4360382.0
TSLA UNU3P8Y3WFAD,2021-01-07 15:00:00,806.51,812.79,804.4,805.39,5203903.0
TSLA UNU3P8Y3WFAD,2021-01-07 16:00:00,816.04,817.0,806.2,806.74,7538078.0
TSLA UNU3P8Y3WFAD,2021-01-08 10:00:00,852.04,856.5,838.39,856.38,10617329.0
TSLA UNU3P8Y3WFAD,2021-01-08 11:00:00,877.94,879.0,850.0,852.08,17566092.0
TSLA UNU3P8Y3WFAD,2021-01-08 12:00:00,873.95,884.49,871.0,877.95,9987200.0
TSLA UNU3P8Y3WFAD,2021-01-08 13:00:00,877.22,885.0,869.04,873.95,6165757.0
TSLA UNU3P8Y3WFAD,2021-01-08 14:00:00,865.1,877.3,847.16,877.1,10101196.0
TSLA UNU3P8Y3WFAD,2021-01-08 15:00:00,865.85,872.5,853.38,865.41,6858543.0
TSLA UNU3P8Y3WFAD,2021-01-08 16:00:00,880.02,884.0,861.4,865.78,9652972.0
TSLA UNU3P8Y3WFAD,2021-01-11 10:00:00,839.0,853.23,816.86,849.74,13080645.0
TSLA UNU3P8Y3WFAD,2021-01-11 11:00:00,843.76,854.48,834.58,838.85,10802154.0
TSLA UNU3P8Y3WFAD,2021-01-11 12:00:00,838.14,844.33,833.49,843.95,5133705.0
TSLA UNU3P8Y3WFAD,2021-01-11 13:00:00,836.36,843.82,834.38,838.22,4058803.0
TSLA UNU3P8Y3WFAD,2021-01-11 14:00:00,829.56,837.41,824.08,836.5,5427206.0
TSLA UNU3P8Y3WFAD,2021-01-11 15:00:00,822.41,832.32,819.0,829.67,5927816.0
TSLA UNU3P8Y3WFAD,2021-01-11 16:00:00,811.19,823.0,803.62,822.42,11388137.0
TSLA UNU3P8Y3WFAD,2021-01-12 10:00:00,848.9,849.01,827.34,830.85,8183105.0
TSLA UNU3P8Y3WFAD,2021-01-12 11:00:00,860.88,866.57,844.85,848.88,10368882.0
TSLA UNU3P8Y3WFAD,2021-01-12 12:00:00,860.33,868.0,854.36,860.83,6430181.0
TSLA UNU3P8Y3WFAD,2021-01-12 13:00:00,858.36,861.41,849.0,860.33,5636937.0
TSLA UNU3P8Y3WFAD,2021-01-12 14:00:00,855.81,860.23,855.0,858.35,2850182.0
TSLA UNU3P8Y3WFAD,2021-01-12 15:00:00,854.01,858.37,847.56,855.76,4033521.0
TSLA UNU3P8Y3WFAD,2021-01-12 16:00:00,849.44,860.16,848.53,854.08,6440899.0
TSLA UNU3P8Y3WFAD,2021-01-13 10:00:00,846.13,860.5,845.18,852.66,5380260.0
TSLA UNU3P8Y3WFAD,2021-01-13 11:00:00,843.99,846.8,833.5,846.12,7100451.0
TSLA UNU3P8Y3WFAD,2021-01-13 12:00:00,837.95,844.86,837.37,844.13,2471318.0
TSLA UNU3P8Y3WFAD,2021-01-13 13:00:00,840.16,842.5,832.0,838.0,3868596.0
TSLA UNU3P8Y3WFAD,2021-01-13 14:00:00,844.0,844.1,836.55,840.07,2248746.0
TSLA UNU3P8Y3WFAD,2021-01-13 15:00:00,855.43,855.73,842.84,843.89,5350053.0
TSLA UNU3P8Y3WFAD,2021-01-13 16:00:00,854.41,858.0,849.76,855.49,5123440.0
TSLA UNU3P8Y3WFAD,2021-01-14 10:00:00,846.34,849.7,838.75,843.18,4758760.0
TSLA UNU3P8Y3WFAD,2021-01-14 11:00:00,856.83,863.0,843.69,846.66,8332916.0
TSLA UNU3P8Y3WFAD,2021-01-14 12:00:00,853.24,859.7,850.2,856.83,3497341.0
TSLA UNU3P8Y3WFAD,2021-01-14 13:00:00,854.21,858.0,850.65,853.19,2665010.0
TSLA UNU3P8Y3WFAD,2021-01-14 14:00:00,847.1,854.25,844.0,854.2,3811564.0
TSLA UNU3P8Y3WFAD,2021-01-14 15:00:00,848.88,855.0,846.67,847.115,2949340.0
TSLA UNU3P8Y3WFAD,2021-01-14 16:00:00,845.0,849.81,843.4,848.94,4100776.0
TSLA UNU3P8Y3WFAD,2021-01-15 10:00:00,854.44,859.9,849.0,850.99,5078250.0
TSLA UNU3P8Y3WFAD,2021-01-15 11:00:00,842.4,855.3,835.9,854.43,7982211.0
TSLA UNU3P8Y3WFAD,2021-01-15 12:00:00,839.8,845.84,835.0,842.45,4373932.0
TSLA UNU3P8Y3WFAD,2021-01-15 13:00:00,835.11,841.67,833.25,839.62,3054025.0
TSLA UNU3P8Y3WFAD,2021-01-15 14:00:00,842.65,844.5,832.1,835.12,3408339.0
TSLA UNU3P8Y3WFAD,2021-01-15 15:00:00,823.56,842.93,821.3,842.52,5717893.0
TSLA UNU3P8Y3WFAD,2021-01-15 16:00:00,826.16,830.74,819.1,823.3,7431236.0
TSLA UNU3P8Y3WFAD,2021-01-19 10:00:00,841.74,851.0,835.5,837.74,5228062.0
TSLA UNU3P8Y3WFAD,2021-01-19 11:00:00,833.25,845.66,833.02,841.85,4299901.0
TSLA UNU3P8Y3WFAD,2021-01-19 12:00:00,838.9,840.1,833.0,833.21,2956056.0
TSLA UNU3P8Y3WFAD,2021-01-19 13:00:00,837.675,840.23,836.3,838.97,1941950.0
TSLA UNU3P8Y3WFAD,2021-01-19 14:00:00,842.58,843.64,835.13,837.75,2255225.0
TSLA UNU3P8Y3WFAD,2021-01-19 15:00:00,838.47,846.0,836.0,842.51,3267557.0
TSLA UNU3P8Y3WFAD,2021-01-19 16:00:00,844.55,845.0,836.01,838.48,3578843.0
TSLA UNU3P8Y3WFAD,2021-01-20 10:00:00,850.59,859.66,847.33,858.71,4365898.0
TSLA UNU3P8Y3WFAD,2021-01-20 11:00:00,839.32,853.3,837.23,850.72,5481251.0
TSLA UNU3P8Y3WFAD,2021-01-20 12:00:00,848.63,850.1,838.43,839.34,3719788.0
TSLA UNU3P8Y3WFAD,2021-01-20 13:00:00,849.88,850.5,845.01,848.7,2387657.0
TSLA UNU3P8Y3WFAD,2021-01-20 14:00:00,851.55,851.75,845.78,849.95,1761701.0
TSLA UNU3P8Y3WFAD,2021-01-20 15:00:00,855.53,855.89,850.1,851.49,2487933.0
TSLA UNU3P8Y3WFAD,2021-01-20 16:00:00,850.45,856.0,848.53,855.53,3336553.0
TSLA UNU3P8Y3WFAD,2021-01-21 10:00:00,847.34,855.6,843.81,855.0,3787177.0
TSLA UNU3P8Y3WFAD,2021-01-21 11:00:00,847.15,849.63,841.41,847.54,3570449.0
TSLA UNU3P8Y3WFAD,2021-01-21 12:00:00,847.43,852.87,845.74,847.04,2972783.0
TSLA UNU3P8Y3WFAD,2021-01-21 13:00:00,847.45,848.62,844.0,847.3,2044333.0
TSLA UNU3P8Y3WFAD,2021-01-21 14:00:00,845.76,848.9,845.1,847.45,1357604.0
TSLA UNU3P8Y3WFAD,2021-01-21 15:00:00,846.1,847.3,844.5,845.66,1522619.0
TSLA UNU3P8Y3WFAD,2021-01-21 16:00:00,844.99,848.2,844.13,846.18,4239509.0
TSLA UNU3P8Y3WFAD,2021-01-22 10:00:00,838.02,841.86,833.25,834.63,3060389.0
TSLA UNU3P8Y3WFAD,2021-01-22 11:00:00,834.58,838.25,828.62,838.18,3917629.0
TSLA UNU3P8Y3WFAD,2021-01-22 12:00:00,837.02,838.55,831.1,834.47,2317980.0
TSLA UNU3P8Y3WFAD,2021-01-22 13:00:00,835.44,839.47,834.55,836.99,1665900.0
TSLA UNU3P8Y3WFAD,2021-01-22 14:00:00,838.99,843.02,835.01,835.34,1925178.0
TSLA UNU3P8Y3WFAD,2021-01-22 15:00:00,839.55,842.0,837.37,839.12,1429244.0
TSLA UNU3P8Y3WFAD,2021-01-22 16:00:00,846.64,848.0,839.03,839.58,3671875.0
TSLA UNU3P8Y3WFAD,2021-01-25 10:00:00,895.69,896.5,852.2,855.33,6799222.0
TSLA UNU3P8Y3WFAD,2021-01-25 11:00:00,864.14,900.4,863.5,895.77,8861380.0
TSLA UNU3P8Y3WFAD,2021-01-25 12:00:00,872.11,873.9,838.77,864.13,8721744.0
TSLA UNU3P8Y3WFAD,2021-01-25 13:00:00,869.9,875.37,857.7,871.85,3711112.0
TSLA UNU3P8Y3WFAD,2021-01-25 14:00:00,868.93,872.0,866.2,870.13,2037390.0
TSLA UNU3P8Y3WFAD,2021-01-25 15:00:00,876.4,880.0,866.55,868.82,3139483.0
TSLA UNU3P8Y3WFAD,2021-01-25 16:00:00,880.8,882.83,865.84,876.19,5417373.0
TSLA UNU3P8Y3WFAD,2021-01-26 10:00:00,885.0,895.99,879.12,891.68,4463422.0
TSLA UNU3P8Y3WFAD,2021-01-26 11:00:00,884.81,887.55,871.62,884.85,4991790.0
TSLA UNU3P8Y3WFAD,2021-01-26 12:00:00,882.23,891.0,881.81,884.79,3450318.0
TSLA UNU3P8Y3WFAD,2021-01-26 13:00:00,888.1,891.0,882.0,882.23,2086938.0
TSLA UNU3P8Y3WFAD,2021-01-26 14:00:00,887.97,892.52,886.8,888.4,2161958.0
TSLA UNU3P8Y3WFAD,2021-01-26 15:00:00,889.01,890.86,887.3,888.0,1739258.0
TSLA UNU3P8Y3WFAD,2021-01-26 16:00:00,883.09,889.14,882.03,888.97,3198322.0
TSLA UNU3P8Y3WFAD,2021-01-27 10:00:00,876.58,877.55,865.57,870.35,3200230.0
TSLA UNU3P8Y3WFAD,2021-01-27 11:00:00,889.63,891.51,874.38,876.6,4194743.0
TSLA UNU3P8Y3WFAD,2021-01-27 12:00:00,876.0,890.98,871.5,889.46,2437832.0
TSLA UNU3P8Y3WFAD,2021-01-27 13:00:00,882.35,884.95,873.63,875.84,2195776.0
TSLA UNU3P8Y3WFAD,2021-01-27 14:00:00,882.88,884.0,878.09,882.6,1578355.0
TSLA UNU3P8Y3WFAD,2021-01-27 15:00:00,868.0,886.12,858.55,882.88,3778788.0
TSLA UNU3P8Y3WFAD,2021-01-27 16:00:00,864.16,873.3,861.14,867.9,4762276.0
TSLA UNU3P8Y3WFAD,2021-01-28 10:00:00,814.79,830.05,801.0,819.45,5968571.0
TSLA UNU3P8Y3WFAD,2021-01-28 11:00:00,842.97,847.52,813.3,814.88,6352263.0
TSLA UNU3P8Y3WFAD,2021-01-28 12:00:00,838.76,848.0,831.5,842.97,3291806.0
TSLA UNU3P8Y3WFAD,2021-01-28 13:00:00,836.45,842.87,834.95,838.91,1925260.0
TSLA UNU3P8Y3WFAD,2021-01-28 14:00:00,845.2,846.0,833.37,836.47,1845274.0
TSLA UNU3P8Y3WFAD,2021-01-28 15:00:00,845.3,846.2,838.5,845.21,1611534.0
TSLA UNU3P8Y3WFAD,2021-01-28 16:00:00,835.43,846.99,832.66,845.28,3248923.0
TSLA UNU3P8Y3WFAD,2021-01-29 10:00:00,828.87,842.26,825.7,827.77,2903561.0
TSLA UNU3P8Y3WFAD,2021-01-29 11:00:00,822.47,830.98,818.22,828.87,4344685.0
TSLA UNU3P8Y3WFAD,2021-01-29 12:00:00,818.98,825.79,814.01,822.52,3051650.0
TSLA UNU3P8Y3WFAD,2021-01-29 13:00:00,790.92,819.71,780.1,818.82,9135857.0
TSLA UNU3P8Y3WFAD,2021-01-29 14:00:00,791.02,801.97,789.05,790.66,4786135.0
TSLA UNU3P8Y3WFAD,2021-01-29 15:00:00,789.31,800.1789,782.27,791.08,3652915.0
TSLA UNU3P8Y3WFAD,2021-01-29 16:00:00,793.53,804.0,788.18,789.18,5584232.0
TSLA UNU3P8Y3WFAD,2021-02-01 10:00:00,806.09,825.19,795.79,813.43,4684550.0
TSLA UNU3P8Y3WFAD,2021-02-01 11:00:00,814.7,818.3,800.78,805.74,4261142.0
TSLA UNU3P8Y3WFAD,2021-02-01 12:00:00,826.51,829.1,809.51,814.66,3701273.0
TSLA UNU3P8Y3WFAD,2021-02-01 13:00:00,831.64,838.9,826.49,826.79,3886405.0
TSLA UNU3P8Y3WFAD,2021-02-01 14:00:00,833.39,835.0,825.21,831.86,2204384.0
TSLA UNU3P8Y3WFAD,2021-02-01 15:00:00,832.95,835.55,829.0,833.4,1773356.0
TSLA UNU3P8Y3WFAD,2021-02-01 16:00:00,839.81,842.0,832.13,832.95,3595652.0
TSLA UNU3P8Y3WFAD,2021-02-02 10:00:00,859.08,865.0,842.4,845.61,4386703.0
TSLA UNU3P8Y3WFAD,2021-02-02 11:00:00,872.6,877.74,858.95,859.0,6075318.0
TSLA UNU3P8Y3WFAD,2021-02-02 12:00:00,878.35,879.4,868.8,872.51,3690186.0
TSLA UNU3P8Y3WFAD,2021-02-02 13:00:00,879.11,880.5,874.59,878.35,2260597.0
TSLA UNU3P8Y3WFAD,2021-02-02 14:00:00,878.25,880.02,874.2,879.12,1902480.0
TSLA UNU3P8Y3WFAD,2021-02-02 15:00:00,878.5,879.58,875.02,878.34,1631481.0
TSLA UNU3P8Y3WFAD,2021-02-02 16:00:00,872.79,879.27,870.38,878.6,3071352.0
TSLA UNU3P8Y3WFAD,2021-02-03 10:00:00,872.48,878.33,861.12,877.64,3431158.0
TSLA UNU3P8Y3WFAD,2021-02-03 11:00:00,856.28,872.94,853.08,872.56,4631010.0
TSLA UNU3P8Y3WFAD,2021-02-03 12:00:00,866.43,867.0,854.0,856.36,2481888.0
TSLA UNU3P8Y3WFAD,2021-02-03 13:00:00,858.38,867.11,857.6,866.54,1680368.0
TSLA UNU3P8Y3WFAD,2021-02-03 14:00:00,857.01,860.94,856.7,858.39,1285832.0
TSLA UNU3P8Y3WFAD,2021-02-03 15:00:00,857.3,862.76,856.02,857.16,1473713.0
TSLA UNU3P8Y3WFAD,2021-02-03 16:00:00,854.69,858.7,854.4,857.41,2594411.0
TSLA UNU3P8Y3WFAD,2021-02-04 10:00:00,843.76,856.5,840.73,855.0,2708619.0
TSLA UNU3P8Y3WFAD,2021-02-04 11:00:00,837.06,845.37,833.42,843.98,4331175.0
TSLA UNU3P8Y3WFAD,2021-02-04 12:00:00,842.17,843.25,836.7,837.01,1811339.0
TSLA UNU3P8Y3WFAD,2021-02-04 13:00:00,842.75,848.88,841.36,842.2,1795761.0
TSLA UNU3P8Y3WFAD,2021-02-04 14:00:00,846.56,846.92,842.24,842.76,1048517.0
TSLA UNU3P8Y3WFAD,2021-02-04 15:00:00,846.85,847.87,844.0,846.51,1080038.0
TSLA UNU3P8Y3WFAD,2021-02-04 16:00:00,849.99,851.55,846.73,846.8,2468679.0
TSLA UNU3P8Y3WFAD,2021-02-05 10:00:00,844.27,849.79,838.96,845.42,2130519.0
TSLA UNU3P8Y3WFAD,2021-02-05 11:00:00,843.55,845.69,839.0,844.4,2597389.0
TSLA UNU3P8Y3WFAD,2021-02-05 12:00:00,859.35,864.8,843.11,843.79,4732874.0
TSLA UNU3P8Y3WFAD,2021-02-05 13:00:00,861.99,862.28,857.5,859.35,1797776.0
TSLA UNU3P8Y3WFAD,2021-02-05 14:00:00,855.32,862.7,854.24,861.82,1479756.0
TSLA UNU3P8Y3WFAD,2021-02-05 15:00:00,852.08,859.83,850.8,855.27,2167631.0
TSLA UNU3P8Y3WFAD,2021-02-05 16:00:00,852.23,853.09,848.3,852.15,2565247.0
TSLA UNU3P8Y3WFAD,2021-02-08 10:00:00,865.87,877.77,861.7,870.0,3972581.0
TSLA UNU3P8Y3WFAD,2021-02-08 11:00:00,869.63,874.43,862.8,865.89,3737636.0
TSLA UNU3P8Y3WFAD,2021-02-08 12:00:00,864.2,869.96,863.36,869.64,2105406.0
TSLA UNU3P8Y3WFAD,2021-02-08 13:00:00,865.35,870.18,863.94,864.35,1671072.0
TSLA UNU3P8Y3WFAD,2021-02-08 14:00:00,858.57,866.47,857.5,865.56,1724889.0
TSLA UNU3P8Y3WFAD,2021-02-08 15:00:00,858.65,860.68,854.75,858.49,2038746.0
TSLA UNU3P8Y3WFAD,2021-02-08 16:00:00,863.42,865.15,857.93,858.79,2925198.0
TSLA UNU3P8Y3WFAD,2021-02-09 10:00:00,851.79,859.8,850.01,855.7,2498995.0
