symbol,time,askclose,askhigh,asklow,askopen,asksize,bidclose,bidhigh,bidlow,bidopen,bidsize,close,high,low,open,volume
TSLA UNU3P8Y3WFAD,2021-01-04 09:31:00,717.69,721.49,717.25,719.57,200.0,717.5,721.31,717.14,719.5,500.0,717.67,721.51,717.2,720.0,876948.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:32:00,719.6,721.57,717.31,717.69,200.0,719.33,721.32,717.0,717.5,100.0,719.59,721.57,717.0,717.56,292220.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:33:00,722.29,724.49,718.8,719.6,100.0,721.81,724.23,718.5,719.33,100.0,722.0,724.44,718.53,719.59,376097.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:34:00,722.0,722.85,719.34,722.29,100.0,721.63,722.42,719.05,721.81,100.0,722.0,722.6,719.06,722.04,285651.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:35:00,728.25,728.3,722.0,722.0,100.0,727.84,728.05,721.53,721.63,100.0,728.28,728.3,721.95,721.95,607828.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:36:00,730.84,730.88,727.11,728.25,200.0,730.29,730.66,726.99,727.84,200.0,730.69,730.88,727.0,728.24,578928.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:37:00,727.99,730.84,727.61,730.84,100.0,727.49,730.5,727.27,730.29,100.0,727.95,730.83,727.27,730.58,417758.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:38:00,727.15,728.29,726.25,727.99,100.0,726.88,728.07,726.24,727.49,200.0,727.11,728.28,726.24,727.57,298637.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:39:00,726.2,729.6,725.86,727.15,200.0,725.63,729.49,725.5,726.88,100.0,726.18,729.55,725.5,727.0,280233.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:40:00,727.28,729.0,726.19,726.2,100.0,726.86,728.74,725.63,725.63,100.0,726.85,729.0,726.15,726.18,189764.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:41:00,731.69,732.25,727.13,727.28,100.0,731.35,731.88,726.85,726.86,100.0,731.4,732.25,726.96,727.11,482941.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:42:00,734.88,734.89,730.62,731.69,100.0,734.4,734.77,730.18,731.35,100.0,734.66,734.89,730.41,731.41,388299.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:43:00,734.77,735.47,732.9,734.88,100.0,734.35,735.37,732.5,734.4,500.0,734.47,735.47,732.65,734.75,450603.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:44:00,738.98,739.0,734.77,734.77,100.0,738.71,738.95,734.35,734.35,100.0,738.8,739.0,734.575,734.62,395581.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:45:00,742.6,742.88,737.79,738.98,300.0,742.47,742.6,737.5,738.71,100.0,742.6,742.87,737.5,738.94,428470.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:46:00,741.15,743.5,740.86,742.6,200.0,740.9,743.26,740.67,742.47,100.0,741.14,743.43,740.67,742.6,408549.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:47:00,740.77,743.0,739.77,741.15,200.0,740.5,742.65,739.41,740.9,500.0,740.75,742.92,739.5,741.15,344512.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:48:00,740.15,743.76,739.94,740.77,100.0,739.91,743.74,739.85,740.5,100.0,740.12,743.76,739.85,740.76,387766.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:49:00,741.28,742.42,740.0,740.15,200.0,740.77,742.26,739.91,739.91,100.0,741.08,742.35,739.91,740.12,252992.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:50:00,740.71,742.17,739.7,741.28,100.0,740.36,741.88,739.62,740.77,200.0,740.54,742.16,739.68,741.28,244963.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:51:00,739.83,741.88,738.9,740.71,200.0,739.56,741.59,738.81,740.36,200.0,739.66,741.8,738.81,740.45,259401.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:52:00,737.83,740.8,737.56,739.83,200.0,737.38,740.2,737.31,739.56,300.0,737.4,740.73,737.31,739.63,225271.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:53:00,735.55,738.5,735.54,737.83,100.0,735.22,738.26,735.22,737.38,900.0,735.51,738.4,735.22,737.51,249881.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:54:00,737.5,739.32,735.39,735.55,100.0,737.3,739.09,735.22,735.22,100.0,737.38,739.28,735.22,735.33,307940.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:55:00,737.7,739.0,736.58,737.5,100.0,737.5,738.62,736.49,737.3,100.0,737.69,738.92,736.5,737.34,147421.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:56:00,738.89,738.9,737.49,737.7,100.0,738.64,738.73,737.2,737.5,100.0,738.87,738.9,737.31,737.69,132269.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:57:00,739.19,739.9,738.62,738.89,100.0,738.93,739.71,738.53,738.64,100.0,739.0,739.89,738.6,738.89,160604.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:58:00,739.89,741.19,739.16,739.19,100.0,739.54,741.01,738.93,738.93,100.0,739.66,741.11,739.0,739.0,220764.0
TSLA UNU3P8Y3WFAD,2021-01-04 09:59:00,739.87,740.86,739.12,739.89,100.0,739.53,740.67,739.0,739.54,200.0,739.69,740.74,739.0,739.88,121284.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:00:00,738.7,740.0,737.05,739.87,100.0,738.11,739.79,736.8,739.53,100.0,738.19,740.0,736.9,739.86,158001.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:01:00,738.35,739.27,737.91,738.7,100.0,738.19,738.94,737.78,738.11,100.0,738.32,739.27,737.91,738.23,82510.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:02:00,736.98,738.92,735.83,738.35,300.0,736.62,738.68,735.66,738.19,200.0,736.94,738.75,735.67,738.33,188547.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:03:00,737.96,738.16,736.32,736.98,200.0,737.9,737.95,736.24,736.62,100.0,737.96,738.02,736.32,736.9,170977.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:04:00,737.7,738.68,737.15,737.96,100.0,737.38,738.48,737.0,737.9,100.0,737.7,738.66,737.04,737.93,113374.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:05:00,737.92,738.48,736.97,737.7,100.0,737.7,738.25,736.77,737.38,300.0,737.9,738.48,736.82,737.53,97290.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:06:00,739.06,739.56,737.63,737.92,300.0,738.9,739.28,737.3,737.7,100.0,738.91,739.54,737.49,737.7,168246.0
TSLA UNU3P8Y3WFAD,2021-01-04 10:07:00,738.74,739.5,738.4,739.06,100.0,738.27,739.35,738.17,738.9,100.0,738.37,739.5,738.22,738.93,131617.0
