symbol,time,close,high,low,open,volume
ZS WSVU0MELFQED,2020-01-02 10:00:00,47.81,47.9,46.51,46.87,208596.0
ZS WSVU0MELFQED,2020-01-02 11:00:00,47.55,47.86,47.09,47.85,189057.0
ZS WSVU0MELFQED,2020-01-02 12:00:00,47.22,47.73,47.0,47.56,240017.0
ZS WSVU0MELFQED,2020-01-02 13:00:00,47.13,47.22,46.99,47.22,103708.0
ZS WSVU0MELFQED,2020-01-02 14:00:00,47.22,47.42,47.05,47.16,122195.0
ZS WSVU0MELFQED,2020-01-02 15:00:00,47.29,47.41,47.2,47.22,128912.0
ZS WSVU0MELFQED,2020-01-02 16:00:00,47.33,47.33,47.1,47.28,378494.0
ZS WSVU0MELFQED,2020-01-03 10:00:00,47.12,47.2,46.5,46.62,138993.0
ZS WSVU0MELFQED,2020-01-03 11:00:00,47.5,47.81,46.89,47.08,240001.0
ZS WSVU0MELFQED,2020-01-03 12:00:00,47.6,47.72,47.31,47.5,139273.0
ZS WSVU0MELFQED,2020-01-03 13:00:00,47.7,47.89,47.47,47.6,110574.0
ZS WSVU0MELFQED,2020-01-03 14:00:00,47.46,47.78,47.17,47.74,120073.0
ZS WSVU0MELFQED,2020-01-03 15:00:00,47.41,47.47,47.25,47.45,71300.0
ZS WSVU0MELFQED,2020-01-03 16:00:00,47.38,47.5,47.23,47.44,316815.0
ZS WSVU0MELFQED,2020-01-06 10:00:00,48.11,48.48,46.8,46.9,222689.0
ZS WSVU0MELFQED,2020-01-06 11:00:00,47.99,48.3,47.9,48.14,149893.0
ZS WSVU0MELFQED,2020-01-06 12:00:00,48.48,48.53,47.86,48.0,159085.0
ZS WSVU0MELFQED,2020-01-06 13:00:00,48.31,48.49,48.07,48.49,109035.0
ZS WSVU0MELFQED,2020-01-06 14:00:00,48.46,48.58,48.28,48.305,150217.0
ZS WSVU0MELFQED,2020-01-06 15:00:00,48.76,48.96,48.41,48.46,198177.0
ZS WSVU0MELFQED,2020-01-06 16:00:00,48.7,48.8,48.45,48.78,424005.0
ZS WSVU0MELFQED,2020-01-07 10:00:00,48.83,49.69,48.41,49.04,398075.0
ZS WSVU0MELFQED,2020-01-07 11:00:00,48.72,48.9,48.23,48.84,162163.0
ZS WSVU0MELFQED,2020-01-07 12:00:00,48.57,48.97,48.41,48.705,204897.0
ZS WSVU0MELFQED,2020-01-07 13:00:00,48.79,48.94,48.49,48.57,112020.0
ZS WSVU0MELFQED,2020-01-07 14:00:00,48.85,49.03,48.67,48.8,156432.0
ZS WSVU0MELFQED,2020-01-07 15:00:00,48.59,49.09,48.51,48.86,184902.0
ZS WSVU0MELFQED,2020-01-07 16:00:00,48.4,48.81,48.17,48.58,482304.0
ZS WSVU0MELFQED,2020-01-08 10:00:00,49.29,49.36,47.8,48.14,354632.0
ZS WSVU0MELFQED,2020-01-08 11:00:00,49.27,49.38,48.75,49.31,416054.0
ZS WSVU0MELFQED,2020-01-08 12:00:00,50.63,50.74,49.2,49.28,596365.0
ZS WSVU0MELFQED,2020-01-08 13:00:00,50.82,51.19,50.52,50.62,493263.0
ZS WSVU0MELFQED,2020-01-08 14:00:00,51.59,51.75,50.575,50.805,454630.0
ZS WSVU0MELFQED,2020-01-08 15:00:00,51.21,51.73,51.11,51.57,304594.0
ZS WSVU0MELFQED,2020-01-08 16:00:00,50.75,51.41,50.72,51.23,589157.0
ZS WSVU0MELFQED,2020-01-09 10:00:00,51.65,52.23,51.05,51.16,472705.0
ZS WSVU0MELFQED,2020-01-09 11:00:00,52.3,52.37,51.66,51.67,520809.0
ZS WSVU0MELFQED,2020-01-09 12:00:00,52.65,52.77,52.1,52.3,510980.0
ZS WSVU0MELFQED,2020-01-09 13:00:00,52.56,52.82,52.18,52.63,455309.0
ZS WSVU0MELFQED,2020-01-09 14:00:00,53.38,53.57,52.54,52.55,516346.0
ZS WSVU0MELFQED,2020-01-09 15:00:00,53.74,53.88,53.2,53.365,530751.0
ZS WSVU0MELFQED,2020-01-09 16:00:00,54.0,54.09,53.42,53.75,1096230.0
ZS WSVU0MELFQED,2020-01-10 10:00:00,54.75,54.93,53.95,54.0,793731.0
ZS WSVU0MELFQED,2020-01-10 11:00:00,55.04,55.1,54.36,54.75,661349.0
ZS WSVU0MELFQED,2020-01-10 12:00:00,54.69,55.35,54.41,55.02,609649.0
ZS WSVU0MELFQED,2020-01-10 13:00:00,54.78,54.85,54.424,54.71,389492.0
ZS WSVU0MELFQED,2020-01-10 14:00:00,55.05,55.15,54.64,54.775,278556.0
ZS WSVU0MELFQED,2020-01-10 15:00:00,54.74,55.09,54.62,55.04,234854.0
ZS WSVU0MELFQED,2020-01-10 16:00:00,55.0,55.05,54.71,54.74,986999.0
ZS WSVU0MELFQED,2020-01-13 10:00:00,58.14,58.43,55.45,55.5,869840.0
ZS WSVU0MELFQED,2020-01-13 11:00:00,57.8,58.34,57.47,58.14,671862.0
ZS WSVU0MELFQED,2020-01-13 12:00:00,58.42,58.49,57.67,57.8,406472.0
ZS WSVU0MELFQED,2020-01-13 13:00:00,58.64,58.92,58.32,58.4,394761.0
ZS WSVU0MELFQED,2020-01-13 14:00:00,59.31,59.56,58.54,58.64,407072.0
ZS WSVU0MELFQED,2020-01-13 15:00:00,59.29,59.8,58.9,59.31,384077.0
ZS WSVU0MELFQED,2020-01-13 16:00:00,59.62,59.7,59.17,59.26,789370.0
ZS WSVU0MELFQED,2020-01-14 10:00:00,57.2,59.89,57.0,59.61,1069836.0
ZS WSVU0MELFQED,2020-01-14 11:00:00,58.575,58.94,57.12,57.2,747069.0
ZS WSVU0MELFQED,2020-01-14 12:00:00,59.18,59.2,58.17,58.59,312448.0
ZS WSVU0MELFQED,2020-01-14 13:00:00,59.4,59.47,59.08,59.14,157937.0
ZS WSVU0MELFQED,2020-01-14 14:00:00,59.16,59.68,59.02,59.4,267377.0
ZS WSVU0MELFQED,2020-01-14 15:00:00,59.22,59.36,58.63,59.19,225399.0
ZS WSVU0MELFQED,2020-01-14 16:00:00,59.54,59.73,59.18,59.23,593522.0
ZS WSVU0MELFQED,2020-01-15 10:00:00,60.35,60.37,58.36,58.81,818600.0
ZS WSVU0MELFQED,2020-01-15 11:00:00,60.25,60.76,59.77,60.34,424574.0
ZS WSVU0MELFQED,2020-01-15 12:00:00,60.42,60.43,59.89,60.23,243580.0
ZS WSVU0MELFQED,2020-01-15 13:00:00,60.09,60.61,59.91,60.4,266063.0
ZS WSVU0MELFQED,2020-01-15 14:00:00,60.0,60.47,59.92,60.05,206325.0
ZS WSVU0MELFQED,2020-01-15 15:00:00,60.15,60.33,59.95,60.03,136182.0
ZS WSVU0MELFQED,2020-01-15 16:00:00,59.99,60.16,59.4,60.15,788536.0
ZS WSVU0MELFQED,2020-01-16 10:00:00,59.9,60.52,59.76,60.01,397335.0
ZS WSVU0MELFQED,2020-01-16 11:00:00,60.145,60.65,59.86,59.9,458813.0
ZS WSVU0MELFQED,2020-01-16 12:00:00,60.66,60.68,59.86,60.15,306460.0
ZS WSVU0MELFQED,2020-01-16 13:00:00,61.01,61.08,60.58,60.66,265124.0
ZS WSVU0MELFQED,2020-01-16 14:00:00,61.36,61.79,61.02,61.02,347821.0
ZS WSVU0MELFQED,2020-01-16 15:00:00,61.61,61.67,61.33,61.36,236946.0
ZS WSVU0MELFQED,2020-01-16 16:00:00,61.82,61.84,61.36,61.57,740750.0
ZS WSVU0MELFQED,2020-01-17 10:00:00,61.55,62.29,60.87,62.0,472722.0
ZS WSVU0MELFQED,2020-01-17 11:00:00,60.82,61.53,60.67,61.43,352169.0
ZS WSVU0MELFQED,2020-01-17 12:00:00,60.13,61.04,60.1,60.85,372350.0
ZS WSVU0MELFQED,2020-01-17 13:00:00,60.36,60.67,59.96,60.11,299196.0
ZS WSVU0MELFQED,2020-01-17 14:00:00,60.08,60.55,59.8,60.39,235985.0
ZS WSVU0MELFQED,2020-01-17 15:00:00,59.21,60.16,58.95,60.05,497638.0
ZS WSVU0MELFQED,2020-01-17 16:00:00,59.43,59.65,59.15,59.23,833137.0
ZS WSVU0MELFQED,2020-01-21 10:00:00,60.11,60.44,58.36,59.29,433525.0
ZS WSVU0MELFQED,2020-01-21 11:00:00,60.59,60.89,60.01,60.08,368306.0
ZS WSVU0MELFQED,2020-01-21 12:00:00,60.39,61.0,60.31,60.52,217737.0
ZS WSVU0MELFQED,2020-01-21 13:00:00,60.07,60.61,59.87,60.39,203614.0
ZS WSVU0MELFQED,2020-01-21 14:00:00,60.19,60.28,59.88,60.04,221352.0
ZS WSVU0MELFQED,2020-01-21 15:00:00,60.52,60.53,60.14,60.175,161288.0
ZS WSVU0MELFQED,2020-01-21 16:00:00,60.51,60.99,60.43,60.485,542321.0
ZS WSVU0MELFQED,2020-01-22 10:00:00,61.65,62.69,61.0,61.12,453825.0
ZS WSVU0MELFQED,2020-01-22 11:00:00,61.96,62.1,61.45,61.62,262506.0
ZS WSVU0MELFQED,2020-01-22 12:00:00,62.03,62.16,61.68,61.96,190375.0
ZS WSVU0MELFQED,2020-01-22 13:00:00,62.1,62.39,61.92,62.04,291001.0
ZS WSVU0MELFQED,2020-01-22 14:00:00,61.7,62.47,61.66,62.1,492045.0
ZS WSVU0MELFQED,2020-01-22 15:00:00,60.99,61.73,60.89,61.7,292249.0
ZS WSVU0MELFQED,2020-01-22 16:00:00,59.92,61.01,59.87,60.99,732351.0
